Equipment Name,Equipment ID,Criticality level,Task Id,Task Description,Start date,End Date,Duration,Maintenance cost
Storage Tank,EQP-1036,Medium,TASK-77888,Sensor replacement,2023-12-24,2023-12-27,3,2676.67
Choke Valve,EQP-1090,Medium,TASK-99678,Leak test,2023-09-19,2023-09-25,6,3952.01
Casing Pipe,EQP-1080,Medium,TASK-45943,Seal replacement,2024-01-17,2024-01-26,9,8637.52
Production Tubing,EQP-1075,Low,TASK-45225,Valve check,2024-03-01,2024-03-08,7,2545.71
Desander,EQP-1023,Low,TASK-43237,Overhaul,2025-02-11,2025-02-20,9,7146.19
Compressor,EQP-1049,Medium,TASK-55779,Lubrication,2023-01-28,2023-01-31,3,1101.66
Production Tubing,EQP-1001,High,TASK-75825,Filter change,2024-07-10,2024-07-12,2,4527.33
Mud Motor,EQP-1013,High,TASK-47168,Lubrication,2024-10-31,2024-11-03,3,7921.21
Coiled Tubing Unit,EQP-1083,High,TASK-17044,Valve check,2023-09-05,2023-09-06,1,7366.78
Choke Valve,EQP-1091,Low,TASK-61525,Overhaul,2023-03-27,2023-03-28,1,737.72
Wellhead,EQP-1029,High,TASK-43755,Filter change,2024-10-28,2024-11-05,8,8727.91
Gas Lift Valve,EQP-1030,Medium,TASK-25114,Pressure test,2024-09-13,2024-09-19,6,6668.49
Casing Pipe,EQP-1083,Low,TASK-96376,Seal replacement,2023-05-26,2023-05-30,4,9384.62
Desander,EQP-1021,Low,TASK-68226,Calibration,2023-01-16,2023-01-18,2,5319.95
Storage Tank,EQP-1068,High,TASK-46030,Overhaul,2024-08-23,2024-08-24,1,732.87
Heat Exchanger,EQP-1011,Low,TASK-38176,Valve check,2024-08-26,2024-08-28,2,9637.05
Choke Valve,EQP-1063,Medium,TASK-36243,Lubrication,2024-06-23,2024-06-29,6,1489.0
Coiled Tubing Unit,EQP-1033,Medium,TASK-63771,Routine inspection,2024-09-20,2024-09-21,1,2293.41
Wellhead,EQP-1062,High,TASK-16532,Calibration,2025-01-23,2025-02-02,10,3441.9
Gas Lift Valve,EQP-1036,High,TASK-22950,Routine inspection,2024-07-27,2024-08-03,7,7665.08
Storage Tank,EQP-1066,High,TASK-54718,Sensor replacement,2024-12-09,2024-12-10,1,4502.79
Choke Valve,EQP-1016,Medium,TASK-21126,Routine inspection,2024-07-17,2024-07-24,7,4762.52
Separator,EQP-1006,Medium,TASK-75260,Filter change,2023-12-31,2024-01-05,5,8434.72
Separator,EQP-1076,Medium,TASK-52090,Leak test,2023-01-22,2023-01-23,1,8130.39
Casing Pipe,EQP-1075,Medium,TASK-33027,Routine inspection,2024-04-10,2024-04-20,10,3277.4
Coiled Tubing Unit,EQP-1084,Low,TASK-55373,Overhaul,2024-02-06,2024-02-07,1,5296.45
Drill Bit,EQP-1007,Medium,TASK-67187,Pressure test,2025-01-08,2025-01-14,6,3120.1
Drill Bit,EQP-1000,Medium,TASK-45514,Valve check,2023-10-28,2023-10-30,2,3548.68
Separator,EQP-1057,High,TASK-43322,Lubrication,2025-02-10,2025-02-11,1,589.92
Choke Valve,EQP-1056,Medium,TASK-51290,Seal replacement,2023-05-20,2023-05-29,9,8562.87
Drill Bit,EQP-1049,Medium,TASK-38659,Lubrication,2025-02-10,2025-02-17,7,2588.84
Coiled Tubing Unit,EQP-1074,High,TASK-46324,Valve check,2025-02-08,2025-02-14,6,7380.42
Wellhead,EQP-1085,Medium,TASK-89332,Seal replacement,2024-11-08,2024-11-11,3,880.85
Blowout Preventer,EQP-1090,Medium,TASK-58749,Valve check,2023-09-09,2023-09-15,6,9990.13
Wellhead,EQP-1077,Low,TASK-32187,Calibration,2025-02-15,2025-02-24,9,649.33
Choke Valve,EQP-1054,High,TASK-84022,Sensor replacement,2024-09-26,2024-09-30,4,5529.3
Casing Pipe,EQP-1014,Low,TASK-94694,Valve check,2025-02-25,2025-03-05,8,4366.91
Production Tubing,EQP-1096,High,TASK-62826,Calibration,2023-12-26,2024-01-05,10,3021.31
Heat Exchanger,EQP-1010,Medium,TASK-68725,Routine inspection,2024-05-22,2024-05-31,9,7292.4
Coiled Tubing Unit,EQP-1061,Low,TASK-42045,Sensor replacement,2024-08-31,2024-09-06,6,4686.93
Casing Pipe,EQP-1073,Low,TASK-95742,Lubrication,2024-07-12,2024-07-14,2,2561.32
Oil Pump,EQP-1032,Low,TASK-75678,Pressure test,2024-10-28,2024-11-01,4,2205.02
Mud Motor,EQP-1038,Medium,TASK-75326,Calibration,2025-02-07,2025-02-17,10,4245.71
Storage Tank,EQP-1097,Low,TASK-31568,Sensor replacement,2023-08-26,2023-08-28,2,4807.0
Drill Bit,EQP-1087,Medium,TASK-16128,Valve check,2024-03-18,2024-03-28,10,4329.03
Choke Valve,EQP-1077,High,TASK-51541,Valve check,2023-01-20,2023-01-21,1,2346.28
Heat Exchanger,EQP-1040,High,TASK-19673,Seal replacement,2024-06-25,2024-06-29,4,5230.54
Mud Motor,EQP-1090,Medium,TASK-29682,Leak test,2024-11-26,2024-11-28,2,4495.88
Storage Tank,EQP-1047,High,TASK-25085,Calibration,2024-04-17,2024-04-24,7,8105.25
Casing Pipe,EQP-1074,Medium,TASK-99949,Seal replacement,2023-02-17,2023-02-27,10,9155.88
Oil Pump,EQP-1045,Medium,TASK-12504,Overhaul,2024-08-26,2024-08-29,3,2915.84
Coiled Tubing Unit,EQP-1035,Medium,TASK-68909,Sensor replacement,2023-06-11,2023-06-19,8,5212.13
Mud Motor,EQP-1099,Medium,TASK-42552,Seal replacement,2024-04-11,2024-04-14,3,6979.98
Drill Bit,EQP-1088,Medium,TASK-63769,Leak test,2023-12-17,2023-12-24,7,7130.02
Drill Bit,EQP-1070,Low,TASK-69910,Overhaul,2024-10-10,2024-10-16,6,9882.86
Compressor,EQP-1099,Low,TASK-55948,Lubrication,2023-11-17,2023-11-18,1,7587.54
Blowout Preventer,EQP-1012,Low,TASK-56388,Overhaul,2023-09-01,2023-09-08,7,1782.26
Blowout Preventer,EQP-1085,Low,TASK-58223,Routine inspection,2023-10-23,2023-10-31,8,7869.36
Separator,EQP-1048,Low,TASK-48411,Routine inspection,2023-07-01,2023-07-08,7,6153.63
Separator,EQP-1035,Low,TASK-23949,Filter change,2023-08-14,2023-08-18,4,6490.74
Coiled Tubing Unit,EQP-1090,High,TASK-53215,Pressure test,2023-01-07,2023-01-12,5,9203.82
Oil Pump,EQP-1036,Medium,TASK-76923,Lubrication,2024-03-27,2024-04-02,6,2485.01
Oil Pump,EQP-1099,Low,TASK-24893,Valve check,2023-10-25,2023-10-26,1,8799.32
Wellhead,EQP-1012,Medium,TASK-79999,Calibration,2023-10-11,2023-10-20,9,3722.14
Coiled Tubing Unit,EQP-1093,Medium,TASK-87092,Pressure test,2024-08-20,2024-08-27,7,2480.7
Storage Tank,EQP-1049,Medium,TASK-34376,Filter change,2025-02-02,2025-02-09,7,9005.48
Desander,EQP-1053,Low,TASK-55967,Overhaul,2024-09-29,2024-10-06,7,8848.82
Coiled Tubing Unit,EQP-1031,High,TASK-47425,Seal replacement,2024-12-19,2024-12-29,10,3976.24
Choke Valve,EQP-1081,High,TASK-10173,Filter change,2023-12-03,2023-12-07,4,3183.46
Wellhead,EQP-1063,Low,TASK-42426,Lubrication,2023-10-21,2023-10-24,3,9553.02
Storage Tank,EQP-1050,Low,TASK-82856,Routine inspection,2023-12-11,2023-12-20,9,7151.65
Separator,EQP-1097,Medium,TASK-50519,Calibration,2024-03-30,2024-03-31,1,5335.94
Choke Valve,EQP-1095,Medium,TASK-94292,Pressure test,2024-10-13,2024-10-14,1,7151.2
Production Tubing,EQP-1034,High,TASK-58365,Valve check,2023-02-24,2023-03-05,9,9547.56
Separator,EQP-1019,Medium,TASK-38055,Sensor replacement,2023-10-18,2023-10-24,6,8038.03
Desander,EQP-1031,High,TASK-42901,Filter change,2024-10-10,2024-10-19,9,4680.01
Mud Motor,EQP-1092,Low,TASK-90126,Seal replacement,2023-01-28,2023-02-06,9,3773.44
Heat Exchanger,EQP-1060,Low,TASK-77517,Filter change,2025-02-09,2025-02-17,8,2158.04
Compressor,EQP-1016,Medium,TASK-12159,Valve check,2024-02-22,2024-02-26,4,4303.82
Separator,EQP-1084,High,TASK-94061,Filter change,2025-02-17,2025-02-20,3,4464.9
Drill Bit,EQP-1041,Low,TASK-18552,Filter change,2024-07-26,2024-08-05,10,4206.97
Separator,EQP-1002,High,TASK-60374,Pressure test,2023-06-26,2023-06-27,1,1547.94
Choke Valve,EQP-1035,Low,TASK-28023,Sensor replacement,2023-07-25,2023-07-27,2,8356.84
Compressor,EQP-1084,Low,TASK-61762,Routine inspection,2024-08-22,2024-08-29,7,4137.62
Choke Valve,EQP-1071,High,TASK-96041,Valve check,2023-03-13,2023-03-20,7,2540.53
Gas Lift Valve,EQP-1093,High,TASK-54153,Lubrication,2023-02-25,2023-03-02,5,5927.11
Choke Valve,EQP-1061,High,TASK-21409,Lubrication,2023-01-08,2023-01-11,3,4340.98
Coiled Tubing Unit,EQP-1095,Medium,TASK-80684,Lubrication,2024-02-29,2024-03-01,1,2856.99
Compressor,EQP-1057,Medium,TASK-47478,Pressure test,2024-03-08,2024-03-10,2,1494.33
Compressor,EQP-1090,Low,TASK-81098,Lubrication,2023-01-24,2023-02-03,10,4539.12
Compressor,EQP-1079,Low,TASK-29948,Filter change,2023-07-09,2023-07-12,3,3692.61
Choke Valve,EQP-1093,Medium,TASK-28234,Sensor replacement,2023-03-22,2023-03-31,9,5885.31
Separator,EQP-1088,High,TASK-37073,Calibration,2023-08-07,2023-08-11,4,6693.82
Blowout Preventer,EQP-1047,Medium,TASK-16645,Leak test,2023-02-13,2023-02-23,10,2849.56
Desander,EQP-1051,Low,TASK-74385,Leak test,2024-09-27,2024-09-29,2,4649.07
Drill Bit,EQP-1089,Low,TASK-68355,Lubrication,2024-07-22,2024-07-28,6,7984.3
Compressor,EQP-1053,Low,TASK-96954,Seal replacement,2024-01-07,2024-01-10,3,5976.21
Storage Tank,EQP-1015,Low,TASK-93948,Pressure test,2023-02-21,2023-03-01,8,3048.85
Drill Bit,EQP-1096,High,TASK-21150,Seal replacement,2024-07-03,2024-07-11,8,7302.91
Wellhead,EQP-1073,Low,TASK-12940,Lubrication,2023-11-15,2023-11-24,9,2859.92
Storage Tank,EQP-1075,Medium,TASK-24732,Filter change,2023-05-18,2023-05-24,6,5904.8
Drill Bit,EQP-1000,Medium,TASK-86779,Pressure test,2024-10-20,2024-10-27,7,1524.65
Blowout Preventer,EQP-1043,Medium,TASK-55595,Seal replacement,2023-08-29,2023-09-02,4,3149.79
Production Tubing,EQP-1009,Low,TASK-30444,Calibration,2024-05-02,2024-05-04,2,9855.61
Casing Pipe,EQP-1067,Medium,TASK-94671,Sensor replacement,2024-06-16,2024-06-18,2,1419.18
Mud Motor,EQP-1057,Medium,TASK-41751,Sensor replacement,2023-01-22,2023-01-30,8,1007.12
Casing Pipe,EQP-1060,Low,TASK-93514,Lubrication,2024-12-03,2024-12-10,7,4646.07
Choke Valve,EQP-1008,Medium,TASK-81501,Lubrication,2024-01-14,2024-01-24,10,9033.78
Gas Lift Valve,EQP-1036,Medium,TASK-82326,Sensor replacement,2024-12-11,2024-12-20,9,2797.98
